rank,region_id,name,country,level,continent,mix_alpha,mix_s_pct_production,mix_s_pct_demand,mix_f_adj,solar_cf,wind_cf,feasible
59,500,Sumatera Barat,Indonesia,admin1,Asia,0.65,3.3795,5.8016,1.7167,0.2006,0.0085,True
60,444,Alaska,United States of America,admin1,North America,0.1,3.4325,5.5748,1.6241,0.1058,0.224,True
61,659,Sétif,Algeria,admin1,Africa,0.1,3.4496,12.8883,3.7362,0.1962,0.1344,True
62,524,Hainan,China,admin1,Asia,0.45,3.4612,5.3767,1.5534,0.1868,0.1218,True
63,217,Tuvalu,Tuvalu,admin0,Oceania,0.8,3.4683,4.9624,1.4308,0.2109,0.3646,True
64,206,Aland,Aland,admin0,Europe,0.15,3.4877,4.3634,1.2511,0.1215,0.6737,True
65,183,Dominica,Dominica,admin0,North America,0.15,3.5253,7.996,2.2682,0.2613,0.6016,True
66,89,Angola,Angola,admin0,Africa,1.0,3.5908,4.4741,1.246,0.2388,0.0394,True
67,472,Northern Territory,Australia,admin1,Oceania,0.35,3.6131,5.1786,1.4333,0.2508,0.3456,True
68,487,Sulawesi Tenggara,Indonesia,admin1,Asia,0.65,3.7007,6.454,1.744,0.2267,0.0419,True
69,291,Sikkim,India,admin1,Asia,0.6,3.7041,6.6163,1.7862,0.1891,0.158,True
70,159,New Zealand,New Zealand,admin0,Oceania,0.0,3.7224,13.2128,3.5495,0.1573,0.2595,True
71,559,Al Jabal al Akhdar,Libya,admin1,Africa,0.15,3.7631,9.7773,2.5982,0.2231,0.3305,True
72,729,Querétaro,Mexico,admin1,North America,0.2,3.7767,7.3404,1.9436,0.2435,0.1199,True
73,649,Distrito Federal,Brazil,admin1,South America,0.75,3.7824,5.2787,1.3956,0.2305,0.0669,True
74,164,Curaçao,Curaçao,admin0,North America,1.0,3.7897,5.1638,1.3626,0.2397,0.2914,True
75,158,Fiji,Fiji,admin0,Oceania,0.35,3.8001,8.7683,2.3074,0.2206,0.2427,True
76,275,Roraima,Brazil,admin1,South America,1.0,3.8062,5.0238,1.3199,0.2192,0.014,True
77,5,Cyprus,Cyprus,admin0,Asia,0.15,3.8105,8.4647,2.2214,0.2255,0.2,True
78,634,Kasaï-Oriental,Democratic Republic of the Congo,admin1,Africa,1.0,3.8172,4.7982,1.257,0.2065,0.0048,True
79,602,Macquarie Island,Australia,admin1,Oceania,0.1,3.8185,4.0885,1.0707,0.1223,0.8957,True
80,196,Heard Island and McDonald Islands,Heard Island and McDonald Islands,admin0,Seven seas (open ocean),0.05,3.8312,4.6085,1.2029,0.1194,0.9036,True
81,190,Puerto Rico,Puerto Rico,admin0,North America,0.5,3.8367,7.5246,1.9612,0.2382,0.1977,True
82,453,Jammu and Kashmir,India,admin1,Asia,0.3,3.8582,10.0703,2.6101,0.2077,0.1123,True
83,12,Kenya,Kenya,admin0,Africa,0.9,3.8721,5.0186,1.2961,0.2529,0.2929,True
84,107,Monaco,Monaco,admin0,Europe,0.0,3.9298,11.7108,2.98,0.186,0.1513,True
85,75,Djibouti,Djibouti,admin0,Africa,0.95,3.9557,5.0,1.264,0.2691,0.3415,True
86,486,Yogyakarta,Indonesia,admin1,Asia,0.9,3.9618,5.3976,1.3624,0.2144,0.1747,True
87,174,French Southern and Antarctic Lands,French Southern and Antarctic Lands,admin0,Seven seas (open ocean),0.05,4.0,4.8504,1.2126,0.1109,0.9128,True
88,492,Riau,Indonesia,admin1,Asia,0.95,4.0522,5.34,1.3178,0.1876,0.0014,True
89,601,Kamchatka,Russia,admin1,Europe,0.15,4.0523,8.3028,2.0489,0.1117,0.2038,True
90,82,Liechtenstein,Liechtenstein,admin0,Europe,0.3,4.0785,7.4572,1.8284,0.1359,0.1149,True
91,177,Marshall Islands,Marshall Islands,admin0,Oceania,0.95,4.0921,5.6499,1.3807,0.2215,0.3374,True
92,249,Bas-Congo,Democratic Republic of the Congo,admin1,Africa,0.95,4.1002,5.1581,1.258,0.1912,0.0215,True
93,103,El Salvador,El Salvador,admin0,North America,1.0,4.1014,5.2362,1.2767,0.2473,0.0726,True
94,223,Vanuatu,Vanuatu,admin0,Oceania,0.45,4.11,7.1633,1.7429,0.2328,0.4345,True
95,221,South Georgia and the Islands,South Georgia and the Islands,admin0,Seven seas (open ocean),0.05,4.1204,6.9487,1.6864,0.0942,0.6891,True
96,635,Maniema,Democratic Republic of the Congo,admin1,Africa,1.0,4.1604,5.2633,1.2651,0.2031,0.0005,True
97,264,Pskov,Russia,admin1,Europe,0.2,4.1673,5.6283,1.3506,0.1171,0.2673,True
98,188,United States Virgin Islands,United States Virgin Islands,admin0,North America,0.4,4.1987,9.2074,2.1929,0.2398,0.2398,True
99,247,Bandundu,Democratic Republic of the Congo,admin1,Africa,1.0,4.1994,5.2875,1.2591,0.2083,0.0032,True
100,170,Saint Pierre and Miquelon,Saint Pierre and Miquelon,admin0,North America,0.25,4.2583,5.3012,1.2449,0.1283,0.5763,True
101,512,Skikda,Algeria,admin1,Africa,0.2,4.2628,8.821,2.0693,0.1906,0.176,True
102,25,Nicaragua,Nicaragua,admin0,North America,1.0,4.2736,5.6181,1.3146,0.2126,0.1226,True
103,224,Niue,Niue,admin0,Oceania,0.9,4.2849,5.5018,1.284,0.2419,0.6045,True
104,225,American Samoa,American Samoa,admin0,Oceania,0.9,4.2849,5.5018,1.284,0.2419,0.6045,True
105,481,Sulawesi Selatan,Indonesia,admin1,Asia,0.75,4.2887,6.7895,1.5831,0.2241,0.0143,True
106,153,Siachen Glacier,Siachen Glacier,admin0,Asia,0.2,4.3469,13.787,3.1717,0.191,0.2086,True
107,145,Yemen,Yemen,admin0,Asia,0.95,4.3642,5.3579,1.2277,0.2744,0.2637,True
108,390,Papua,Indonesia,admin1,Asia,1.0,4.3659,6.179,1.4153,0.208,0.0034,True
109,216,Solomon Islands,Solomon Islands,admin0,Oceania,0.9,4.3718,6.2538,1.4305,0.2138,0.2133,True
110,16,Somaliland,Somaliland,admin0,Africa,1.0,4.4174,5.4975,1.2445,0.2663,0.4061,True
111,501,Sumatera Utara,Indonesia,admin1,Asia,0.8,4.4236,6.5341,1.4771,0.1919,0.0021,True
112,305,Kaliningrad,Russia,admin1,Europe,0.25,4.4366,5.7104,1.2871,0.1159,0.3715,True
113,248,Kinshasa City,Democratic Republic of the Congo,admin1,Africa,0.95,4.4378,5.6045,1.2629,0.1999,0.0305,True
114,411,Astrakhan',Russia,admin1,Europe,0.15,4.4497,5.7686,1.2964,0.1546,0.4516,True
115,173,French Polynesia,French Polynesia,admin0,Oceania,0.4,4.4498,5.4688,1.229,0.2652,0.6861,True
116,483,Jawa Barat,Indonesia,admin1,Asia,0.95,4.4817,6.1005,1.3612,0.2055,0.0577,True
117,435,Kasaï-Occidental,Democratic Republic of the Congo,admin1,Africa,1.0,4.4919,5.6347,1.2544,0.2079,0.0057,True
118,68,United Kingdom,United Kingdom,admin0,Europe,0.3,4.5159,5.7795,1.2798,0.1072,0.4398,True
119,81,Netherlands,Netherlands,admin0,Europe,0.25,4.5161,5.8308,1.2911,0.118,0.4188,True
120,299,Misiones,Argentina,admin1,South America,0.35,4.542,10.521,2.3164,0.2017,0.0795,True
121,277,Acre,Brazil,admin1,South America,1.0,4.5432,5.8248,1.2821,0.2012,0.0026,True
122,195,Bermuda,Bermuda,admin0,North America,0.3,4.5448,5.8623,1.2899,0.1664,0.5926,True
123,379,Rondônia,Brazil,admin1,South America,1.0,4.5466,5.8506,1.2868,0.2115,0.0032,True
124,3,Peru,Peru,admin0,South America,0.9,4.5608,6.0212,1.3202,0.21,0.0239,True
125,651,Tocantins,Brazil,admin1,South America,1.0,4.594,5.7816,1.2585,0.2308,0.0359,True
126,139,Gibraltar,Gibraltar,admin0,Europe,0.0,4.6158,11.5163,2.495,0.2079,0.272,True
127,246,Équateur,Democratic Republic of the Congo,admin1,Africa,1.0,4.6204,5.8651,1.2694,0.2108,0.0006,True
128,178,Trinidad and Tobago,Trinidad and Tobago,admin0,North America,1.0,4.6216,6.3395,1.3717,0.2449,0.3506,True
129,76,Eritrea,Eritrea,admin0,Africa,0.85,4.6308,5.9158,1.2775,0.2585,0.2102,True
130,598,Tasmania,Australia,admin1,Oceania,0.0,4.6572,12.5494,2.6946,0.1586,0.2909,True
131,184,United States Minor Outlying Islands,United States Minor Outlying Islands,admin0,North America,0.75,4.6735,6.6598,1.425,0.2845,0.2124,True
132,553,Zhejiang,China,admin1,Asia,0.3,4.6769,9.6513,2.0636,0.1488,0.0737,True
133,142,Venezuela,Venezuela,admin0,South America,0.95,4.715,6.1521,1.3048,0.2263,0.0228,True
134,42,Latvia,Latvia,admin0,Europe,0.2,4.7262,6.6743,1.4122,0.1211,0.3117,True
135,143,Papua New Guinea,Papua New Guinea,admin0,Oceania,1.0,4.7263,6.5318,1.382,0.2101,0.0091,True
136,471,Western Australia,Australia,admin1,Oceania,0.0,4.7347,6.8374,1.4441,0.2416,0.4382,True
137,380,Mato Grosso,Brazil,admin1,South America,1.0,4.7386,5.9034,1.2458,0.2216,0.0079,True
138,11,Somalia,Somalia,admin0,Africa,0.9,4.7406,6.0755,1.2816,0.2594,0.545,True
139,205,Isle of Man,Isle of Man,admin0,Europe,0.3,4.7529,6.5718,1.3827,0.1091,0.6881,True
140,179,Grenada,Grenada,admin0,North America,1.0,4.7578,6.4801,1.362,0.2448,0.2877,True
141,502,Aceh,Indonesia,admin1,Asia,0.95,4.7723,6.5022,1.3625,0.2056,0.0097,True
142,58,Laos,Laos,admin0,Asia,1.0,4.7828,6.2827,1.3136,0.1959,0.0095,True
143,648,Goiás,Brazil,admin1,South America,1.0,4.7882,5.911,1.2345,0.2314,0.0377,True
144,106,Brunei,Brunei,admin0,Asia,0.95,4.7883,6.3881,1.3341,0.2142,0.0223,True
145,293,Assam,India,admin1,Asia,0.95,4.7945,6.3451,1.3234,0.1909,0.0072,True
146,276,Pará,Brazil,admin1,South America,0.8,4.8071,7.3525,1.5295,0.2175,0.0027,True
147,491,Kepulauan Riau,Indonesia,admin1,Asia,1.0,4.8172,6.904,1.4332,0.1975,0.2467,True
148,61,Denmark,Denmark,admin0,Europe,0.2,4.8284,6.3691,1.3191,0.1181,0.4741,True
149,351,North Dakota,United States of America,admin1,North America,0.15,4.8506,6.0652,1.2504,0.1561,0.4085,True
150,14,United Republic of Tanzania,United Republic of Tanzania,admin0,Africa,1.0,4.8514,6.1191,1.2613,0.2412,0.0761,True
151,668,Sidi Bel Abbès,Algeria,admin1,Africa,0.15,4.853,15.0802,3.1074,0.2017,0.1957,True
152,69,Greece,Greece,admin0,Europe,0.0,4.8582,11.4023,2.347,0.1862,0.1678,True
153,215,Samoa,Samoa,admin0,Oceania,0.65,4.8649,5.8101,1.1943,0.2399,0.6114,True
154,121,Honduras,Honduras,admin0,North America,0.95,4.8742,6.5616,1.3462,0.218,0.0452,True
155,604,Bangka-Belitung,Indonesia,admin1,Asia,0.75,4.8874,7.6889,1.5732,0.1986,0.102,True
156,466,Bahia,Brazil,admin1,South America,1.0,4.9067,6.2187,1.2674,0.2404,0.1707,True
157,172,Pitcairn Islands,Pitcairn Islands,admin0,Oceania,0.55,4.909,5.7038,1.1619,0.2846,0.7701,True
158,350,Saskatchewan,Canada,admin1,North America,0.15,4.9236,6.6011,1.3407,0.1368,0.291,True
159,155,Akrotiri Sovereign Base Area,Akrotiri Sovereign Base Area,admin0,Asia,0.3,4.9342,12.1535,2.4631,0.2298,0.1684,True
160,165,Aruba,Aruba,admin0,North America,0.9,4.9446,6.1699,1.2478,0.2739,0.8667,True
161,198,Mauritius,Mauritius,admin0,Seven seas (open ocean),0.55,4.9681,6.8912,1.3871,0.2621,0.4917,True
162,670,Ghardaïa,Algeria,admin1,Africa,0.0,4.995,8.93,1.7878,0.2363,0.3554,True
163,459,Piauí,Brazil,admin1,South America,1.0,5.0317,6.2635,1.2448,0.2459,0.1665,True
164,162,Philippines,Philippines,admin0,Asia,0.9,5.0799,6.7867,1.336,0.211,0.0845,True
165,123,Colombia,Colombia,admin0,South America,1.0,5.0839,6.5109,1.2807,0.2026,0.0028,True
166,482,Jawa Tengah,Indonesia,admin1,Asia,1.0,5.0903,6.6459,1.3056,0.2112,0.0584,True
167,110,Burundi,Burundi,admin0,Africa,0.95,5.0972,6.6116,1.2971,0.2086,0.0716,True
168,478,Jawa Timur,Indonesia,admin1,Asia,0.95,5.1202,6.7223,1.3129,0.2245,0.08,True
169,448,Guangdong,China,admin1,Asia,0.5,5.1441,7.5192,1.4617,0.1564,0.0753,True
170,574,Karnataka,India,admin1,Asia,0.8,5.1521,6.9569,1.3503,0.2299,0.1967,True
171,592,Qeqqata Kommunia,Greenland,admin1,North America,0.15,5.1612,6.3498,1.2303,0.1179,0.4483,True
172,461,Rio Grande do Norte,Brazil,admin1,South America,0.95,5.1662,6.7331,1.3033,0.2545,0.4713,True
173,424,River Nile,Sudan,admin1,Africa,0.55,5.1685,8.5436,1.653,0.262,0.3184,True
174,677,Guelma,Algeria,admin1,Africa,0.3,5.2064,8.2714,1.5887,0.1915,0.1595,True
175,497,Sumatera Selatan,Indonesia,admin1,Asia,0.9,5.2436,7.4386,1.4186,0.1987,0.0053,True
176,513,Jijel,Algeria,admin1,Africa,0.25,5.2525,12.8118,2.4392,0.1916,0.1346,True
177,596,Kalmyk,Russia,admin1,Europe,0.15,5.2597,7.2442,1.3773,0.1524,0.4288,True
178,135,Burkina Faso,Burkina Faso,admin0,Africa,0.9,5.2935,6.7349,1.2723,0.243,0.149,True
179,104,Guatemala,Guatemala,admin0,North America,1.0,5.2983,6.7421,1.2725,0.222,0.0241,True
180,180,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,admin0,North America,0.65,5.2999,6.7171,1.2674,0.2498,0.7049,True
181,181,Barbados,Barbados,admin0,North America,0.65,5.2999,6.7171,1.2674,0.2498,0.7049,True
182,182,Saint Lucia,Saint Lucia,admin0,North America,0.65,5.2999,6.7171,1.2674,0.2498,0.7049,True
183,187,Saint Kitts and Nevis,Saint Kitts and Nevis,admin0,North America,1.0,5.3195,7.1818,1.3501,0.2582,0.526,True
184,185,Montserrat,Montserrat,admin0,North America,1.0,5.3195,7.1818,1.3501,0.2582,0.526,True
185,218,Maldives,Maldives,admin0,Seven seas (open ocean),0.9,5.3225,6.6047,1.2409,0.2249,0.5768,True
186,136,Togo,Togo,admin0,Africa,0.85,5.3264,7.2397,1.3592,0.2251,0.0318,True
187,211,Norfolk Island,Norfolk Island,admin0,Oceania,0.65,5.3616,7.006,1.3067,0.2429,0.5789,True
188,108,Mozambique,Mozambique,admin0,Africa,1.0,5.374,7.0964,1.3205,0.2361,0.0815,True
189,416,Najran,Saudi Arabia,admin1,Asia,0.8,5.3847,6.5769,1.2214,0.2739,0.2993,True
190,499,Bengkulu,Indonesia,admin1,Asia,0.85,5.4037,7.3852,1.3667,0.2116,0.0108,True
191,342,Guangxi,China,admin1,Asia,0.55,5.4191,7.552,1.3936,0.1436,0.0713,True
192,761,Wisconsin,United States of America,admin1,North America,0.25,5.4279,6.8587,1.2636,0.1572,0.3126,True
193,67,Ireland,Ireland,admin0,Europe,0.2,5.4339,7.6237,1.403,0.1054,0.4546,True
194,282,Orientale,Democratic Republic of the Congo,admin1,Africa,1.0,5.439,6.8939,1.2675,0.2172,0.0009,True
195,150,Vatican,Vatican,admin0,Europe,0.2,5.4455,8.4753,1.5564,0.1954,0.2577,True
196,590,Qaasuitsup Kommunia,Greenland,admin1,North America,0.15,5.4517,6.5949,1.2097,0.1092,0.5727,True
197,120,Cuba,Cuba,admin0,North America,0.6,5.4572,8.1018,1.4846,0.2288,0.1474,True
198,600,Hawaii,United States of America,admin1,North America,0.9,5.4614,7.5903,1.3898,0.2631,0.288,True
199,137,Ghana,Ghana,admin0,Africa,0.95,5.4677,6.9822,1.277,0.2204,0.0366,True
200,46,Vietnam,Vietnam,admin0,Asia,0.55,5.4747,8.6013,1.5711,0.1895,0.0492,True
201,595,Andaman and Nicobar,India,admin1,Asia,0.85,5.4804,7.3668,1.3442,0.2211,0.4666,True
202,141,Panama,Panama,admin0,North America,1.0,5.4891,7.2955,1.3291,0.1915,0.0582,True
203,355,Michigan,United States of America,admin1,North America,0.3,5.4999,6.9832,1.2697,0.1572,0.3383,True
204,496,Jambi,Indonesia,admin1,Asia,0.95,5.5152,7.3688,1.3361,0.1896,0.0011,True
205,294,Nusa Tenggara Timur,Indonesia,admin1,Asia,0.9,5.5156,7.3291,1.3288,0.2489,0.1356,True
206,582,Nenets,Russia,admin1,Europe,0.05,5.5406,6.8421,1.2349,0.0945,0.5089,True
207,409,West Kazakhstan,Kazakhstan,admin1,Asia,0.15,5.5477,7.171,1.2926,0.149,0.4424,True
208,468,Rio de Janeiro,Brazil,admin1,South America,0.65,5.5579,8.8365,1.5899,0.1963,0.0627,True
209,661,Bouira,Algeria,admin1,Africa,0.1,5.5691,13.0205,2.338,0.1969,0.1422,True
210,628,North Kordufan,Sudan,admin1,Africa,1.0,5.5784,6.9356,1.2433,0.2699,0.387,True
211,679,Mila,Algeria,admin1,Africa,0.2,5.5873,14.6834,2.628,0.1925,0.1259,True
212,41,Estonia,Estonia,admin0,Europe,0.2,5.5895,7.4631,1.3352,0.1179,0.3126,True
213,511,Annaba,Algeria,admin1,Africa,0.25,5.5967,9.2771,1.6576,0.1926,0.2223,True
214,605,Paracel Islands,China,admin1,Asia,0.75,5.6226,7.6338,1.3577,0.1897,0.2628,True
215,222,Falkland Islands,Falkland Islands,admin0,South America,0.0,5.6349,7.1343,1.2661,0.1363,0.7459,True
216,711,Mariy-El,Russia,admin1,Europe,0.2,5.6353,8.2473,1.4635,0.1224,0.2178,True
217,20,South Korea,South Korea,admin0,Asia,0.3,5.6538,10.0632,1.7799,0.1655,0.1742,True
218,558,Al Qubbah,Libya,admin1,Africa,0.05,5.6548,13.8259,2.445,0.2346,0.3426,True
219,28,Ukraine,Ukraine,admin0,Europe,0.35,5.6615,7.1222,1.258,0.1352,0.3036,True
220,599,Bali,Indonesia,admin1,Asia,0.95,5.6666,7.6607,1.3519,0.2206,0.109,True
221,418,Jizan,Saudi Arabia,admin1,Asia,0.7,5.6819,7.191,1.2656,0.259,0.2182,True
222,457,Buenos Aires,Argentina,admin1,South America,0.15,5.6909,6.7044,1.1781,0.1958,0.3782,True
223,101,Chad,Chad,admin0,Africa,1.0,5.695,7.0584,1.2394,0.2646,0.2922,True
224,341,Sennar,Sudan,admin1,Africa,1.0,5.698,7.1499,1.2548,0.2595,0.1884,True
225,391,Mangghystau,Kazakhstan,admin1,Asia,0.0,5.7106,7.8287,1.3709,0.164,0.4864,True
226,458,Maranhão,Brazil,admin1,South America,1.0,5.7235,7.1744,1.2535,0.2257,0.0422,True
227,392,Qyzylorda,Kazakhstan,admin1,Asia,0.1,5.7449,8.0526,1.4017,0.1715,0.4607,True
228,476,Jervis Bay Territory,Australia,admin1,Oceania,0.0,5.7533,9.4671,1.6455,0.18,0.3417,True
229,237,Scarborough Reef,Scarborough Reef,admin0,Asia,0.5,5.7563,7.8597,1.3654,0.2283,0.2477,True
230,737,Tlaxcala,Mexico,admin1,North America,0.75,5.7564,7.3359,1.2744,0.238,0.0983,True
231,212,Cook Islands,Cook Islands,admin0,Oceania,0.85,5.7681,7.5937,1.3165,0.2448,0.5654,True
232,176,Kiribati,Kiribati,admin0,Oceania,0.85,5.7681,7.5937,1.3165,0.2448,0.5654,True
233,167,Turks and Caicos Islands,Turks and Caicos Islands,admin0,North America,0.45,5.7745,7.0339,1.2181,0.2554,0.6809,True
234,480,Nusa Tenggara Barat,Indonesia,admin1,Asia,1.0,5.7959,7.4877,1.2919,0.2289,0.1192,True
235,554,Shanghai,China,admin1,Asia,0.25,5.8021,7.4946,1.2917,0.1551,0.3131,True
236,387,Río Negro,Argentina,admin1,South America,0.0,5.8227,8.7842,1.5086,0.2023,0.515,True
237,552,Oaxaca,Mexico,admin1,North America,0.6,5.8228,9.0131,1.5479,0.2352,0.0727,True
238,284,Katanga,Democratic Republic of the Congo,admin1,Africa,1.0,5.824,7.301,1.2536,0.2282,0.0404,True
239,583,Northwest Territories,Canada,admin1,North America,0.0,5.8339,8.9539,1.5348,0.1098,0.2437,True
240,370,Texas,United States of America,admin1,North America,0.3,5.8411,7.934,1.3583,0.2075,0.3598,True
241,308,Kursk,Russia,admin1,Europe,0.3,5.8422,8.5185,1.4581,0.1299,0.2513,True
242,151,Northern Cyprus,Northern Cyprus,admin0,Asia,0.5,5.8469,8.516,1.4565,0.2186,0.2498,True
243,632,Al Bahah,Saudi Arabia,admin1,Asia,0.4,5.8558,8.5056,1.4525,0.2516,0.2017,True
244,462,Paraíba,Brazil,admin1,South America,0.85,5.8611,7.5778,1.2929,0.2536,0.3493,True
245,340,Blue Nile,Sudan,admin1,Africa,0.95,5.8655,7.621,1.2993,0.249,0.0851,True
246,560,Al Marj,Libya,admin1,Africa,0.05,5.8709,14.0662,2.3959,0.2277,0.3417,True
