HYBAS_ID,P_mm_yr,ET_mm_yr,runoff_mm_yr,T_degC,GWS_mm,region,SUB_AREA_km2,relief_m,mainstem_km,gradient_m_per_km
1070000010,42.68168,-16.258385,0.24065495,24.3943,368.30734,af,1890.8,879.0,51.95,16.920115495668913
1070000100,52.830338,-3.163095,1.1782155,23.122087,397.29932,af,2925.9,1274.0,101.79,12.515964240102171
1070000110,62.279854,-16.49723,0.05468881,24.120735,239.80434,af,893.5,1268.0,24.33,52.116728318947814
1070000150,26.165405,27.207184,4.974995,24.22334,358.38608,af,4217.3,1477.0,154.89999999999995,9.535183989670758
1070000160,24.405413,43.39312,5.8126082,24.384676,316.0065,af,3598.3,1456.0,100.20999999999998,14.529488075042414
1070000330,12.342849,30.620417,5.0134172,24.53426,340.84372,af,1183.1,1045.0,101.64,10.281385281385283
1070000340,16.413311,8.714687,2.869539,25.394133,288.56238,af,1479.0,1496.0,69.82000000000001,21.42652535090232
1070000390,12.975075,37.32449,12.423691,26.068115,321.07855,af,1182.0,1332.0,76.92,17.316692667706707
1070000400,14.525668,12.671667,4.051054,27.05365,73.14353,af,188.6,435.0,7.88,55.203045685279186
1070000410,10.826252,37.990963,13.822662,26.436932,323.4634,af,1147.3,1143.0,87.22999999999998,13.103290152470482
1070000420,14.144186,19.48496,8.062618,27.147728,198.60732,af,1004.9,1101.0,50.29,21.893020481208985
1070000490,9.717291,17.746883,9.535989,26.791674,312.06906,af,1636.3,1593.0,77.06,20.6722034778095
1070000500,10.734297,27.620766,11.000158,27.329212,287.27783,af,5218.7,2109.0,63.72000000000001,33.09792843691149
1070000790,7.23401,19.013517,7.266713,29.33889,349.7384,af,1832.5,1098.0,83.94000000000003,13.080771979985702
1070000800,11.794784,-43.267014,0.3942598,29.63048,311.43765,af,8646.8,1439.0,76.76,18.746743095362167
1070001080,11.6268425,-42.625053,0.0010729478,29.050432,337.18576,af,1955.7,1965.0,131.1,14.988558352402745
1070001090,16.395863,2.3812082,0.48714006,29.647694,239.78725,af,6566.3,1770.0,90.87,19.478375701551663
1070001370,13.064363,19.847986,0.7671862,31.921406,264.14706,af,1413.7,1058.0,69.11,15.308927796266822
1070001380,19.544844,54.8835,2.144498,30.658314,248.9273,af,5524.6,1593.0,113.49000000000002,14.03647898493259
1070001510,24.325937,40.02766,1.7823611,29.397585,223.70753,af,721.7,528.0,51.71999999999999,10.208816705336428
1070001520,34.946144,17.71041,0.37569952,29.191557,265.7436,af,5129.0,2161.0,48.36999999999999,44.67645234649577
1070001860,39.42101,6.0864644,0.2844526,31.26837,334.27463,af,1191.4,1785.0,71.5,24.965034965034967
1070001870,46.076923,20.894156,0.7430189,30.774904,247.0186,af,681.7,1172.0,41.8,28.038277511961727
1070001920,48.72593,20.155241,0.5442522,30.435968,279.37912,af,862.2,1273.0,58.48,21.768125854993162
1070001930,64.026146,19.716866,0.25883853,30.846,221.69203,af,459.4,343.0,26.28,13.051750380517507
1070001960,41.92904,12.131656,0.182414,30.617403,348.0221,af,1713.7,2073.0,101.29000000000002,20.465988745187087
1070001970,52.684887,43.390102,0.5748081,30.509974,280.80173,af,5172.7,2127.0,69.26,30.71036673404562
1070002250,65.67013,55.15687,0.5650965,31.417572,291.39606,af,780.3,1734.0,62.3,27.8330658105939
1070002260,55.953625,78.318245,0.53523344,31.497774,353.17673,af,208.2,677.0,26.23,25.810141059855127
1070002290,88.60334,46.4929,0.15639241,32.03372,348.76895,af,4584.0,1656.0,199.85,8.286214660995746
1070002300,68.91355,104.53044,0.5427241,31.621204,336.89023,af,617.5,1205.0,44.18,27.274784970574924
1070002330,74.180626,119.86894,0.59128624,31.645258,360.28152,af,615.8,1344.0,46.48,28.915662650602414
1070002340,70.90722,111.48772,0.73750573,31.586546,314.79245,af,509.8,666.0,45.87,14.519293655984304
1070002390,84.447685,98.97747,0.45686972,31.412706,351.0055,af,1996.4,1637.0,122.62,13.350187571358669
1070002400,81.67877,82.96346,0.6156477,31.594471,233.52075,af,140.3,468.0,15.81,29.601518026565472
1070002430,78.60014,129.72284,0.8878109,31.487244,343.48492,af,716.5,1135.0,61.99,18.30940474270044
1070002440,81.99075,56.910473,0.2879661,32.823307,320.8214,af,3923.6,1509.0,70.15999999999998,21.507981755986318
1070002690,83.28119,20.89906,0.058942914,34.450768,356.71594,af,2345.7,1696.0,116.67,14.536727522070802
1070002700,90.22618,42.74805,0.08559935,35.01224,246.04439,af,356.2,30.0,26.09,1.1498658489842852
